[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.097 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 3.425 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.762 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.065 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 15.091 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.661 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.064 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 3.958 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 11.635 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 4.413 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
